Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,26.378078,26.490770,26.133251,26.168653,26.168653,28951268
2015-01-05,26.091366,26.144720,25.582764,25.623152,25.623152,41196796
2015-01-06,25.679497,25.738087,24.983908,25.029282,25.029282,57998800
2015-01-07,25.280592,25.292759,24.914099,24.986401,24.986401,41301082
2015-01-08,24.831326,25.105074,24.482782,25.065184,25.065184,67071641
2015-01-09,25.168900,25.176876,24.671764,24.740576,24.740576,41427428
2015-01-12,24.679243,24.730902,24.311253,24.560070,24.560070,46535413
2015-01-13,24.873709,25.080141,24.552092,24.741074,24.741074,47409807
2015-01-14,24.664783,25.092607,24.582508,24.974932,24.974932,44714427
2015-01-15,25.209288,25.214773,24.819857,25.020805,25.020805,54316718
2015-01-16,24.932049,25.339930,24.931549,25.334444,25.334444,45965854
2015-01-20,25.480045,25.554838,25.231527,25.275606,25.275606,44640224
2015-01-21,25.293058,25.892912,25.240702,25.831081,25.831081,45374234
2015-01-22,26.002609,26.743076,25.913855,26.646341,26.646341,53538588
2015-01-23,26.706179,27.034277,26.577032,26.923580,26.923580,45634948
2015-01-26,26.852776,26.876211,26.410990,26.687229,26.687229,30874534
2015-01-27,26.425947,26.462349,25.838560,25.860500,25.860500,38080263
2015-01-28,26.067432,26.077904,25.430182,25.430182,25.430182,33676205
2015-01-29,25.480045,25.484531,24.991386,25.463091,25.463091,83727244
2015-01-30,25.722380,26.919592,25.705425,26.652824,26.652824,112127002
2015-02-02,26.513706,26.577032,25.856510,26.351652,26.351652,56996054
2015-02-03,26.327717,26.596977,26.091366,26.389547,26.389547,40773638
2015-02-04,26.389547,26.560678,25.992140,26.066435,26.066435,33273101
2015-02-05,26.117794,26.352650,26.033026,26.306774,26.306774,36995292
2015-02-06,26.309767,26.786457,26.248434,26.477306,26.477306,35270570
2015-02-09,26.327717,26.527170,26.228989,26.319241,26.319241,25355423
2015-02-10,26.392538,26.811390,26.273865,26.773493,26.773493,34997823
2015-02-11,26.691717,26.848787,26.595881,26.725126,26.725126,27555446
2015-02-12,26.788952,27.166414,26.660454,27.072172,27.072172,32404724
2015-02-13,27.093117,27.420218,27.082146,27.375341,27.375341,38006060
2015-02-17,27.266640,27.424706,26.980425,27.067686,27.067686,32336537
2015-02-18,26.995884,27.199823,26.801914,26.911116,26.911116,29061570
2015-02-19,26.828342,27.081148,26.826847,27.069181,27.069181,19782163
2015-02-20,27.082146,27.113062,26.716648,26.873718,26.873718,28887092
2015-02-23,26.729115,26.748512,26.398024,26.522682,26.522682,29157834
2015-02-24,26.427443,26.766014,26.340183,26.731110,26.731110,20101036
2015-02-25,26.721636,27.236223,26.698948,27.119045,27.119045,36519991
2015-02-26,27.086136,27.730865,27.000870,27.697954,27.697954,46230579
2015-02-27,27.636126,28.158192,27.569307,27.843555,27.843555,48203982
2015-03-02,27.949764,28.529173,27.861008,28.488785,28.488785,42592618
